base,universe,split,variant,eligible,score,train_trades,train_net_r,train_avg_r_year,train_wr,train_pf,train_max_dd_r,train_positive_years,train_negative_years,train_worst_year_r,train_best_year_r,train_positive_months,train_negative_months,test_trades,test_net_r,test_avg_r_year,test_wr,test_pf,test_max_dd_r,test_positive_years,test_negative_years,test_worst_year_r,test_best_year_r,test_positive_months,test_negative_months,selection_note
clean_top3,preferred_realistic_units,expanding_2019_2021_to_2022_2023,NO_ADDON,True,12.979871874652513,214,39.141026301529955,13.047008767176651,0.6074766355140186,1.4687655147072745,-6.7136892524137295,3,0,1.5916729139630694,27.111676597127474,16,11,165,19.76398101225917,9.881990506129585,0.5818181818181818,1.2883283183766936,-12.694926116838417,2,0,1.0362336998100448,18.727747312449125,10,13,eligible_train_selected
clean_top3,preferred_realistic_units,expanding_2019_2023_to_2024_2026,NO_ADDON,True,11.65405220158944,379,58.90500731378913,11.781001462757825,0.5963060686015831,1.3874185432521506,-12.694926116838438,5,0,1.0362336998100448,27.111676597127474,26,24,653,197.20166765992602,65.73388921997534,0.663093415007657,1.8862478619173626,-5.375690107531241,3,0,39.16454748016467,82.34868128048608,27,3,eligible_train_selected
clean_top3,preferred_realistic_units,rolling_prev3_to_2022,NO_ADDON,True,12.979871874652513,214,39.141026301529955,13.047008767176651,0.6074766355140186,1.4687655147072745,-6.7136892524137295,3,0,1.5916729139630694,27.111676597127474,16,11,90,18.727747312449125,18.727747312449125,0.6222222222222222,1.5690352281880655,-3.2747862551233204,1,0,18.727747312449125,18.727747312449125,7,5,eligible_train_selected
clean_top3,preferred_realistic_units,rolling_prev3_to_2023,orb15_not_above_50__risk_1p0%__dd3_half_recover1__realistic_units,True,24.84786826076537,380,74.74220902870158,24.91406967623386,0.6052631578947368,1.619160874751406,-6.620141546849155,3,0,6.4409352393472945,37.47805746414719,27,9,106,6.081281708635691,6.081281708635691,0.5377358490566038,1.1514072389364158,-12.941545313104472,1,0,6.081281708635691,6.081281708635691,5,7,eligible_train_selected
clean_top3,preferred_realistic_units,rolling_prev3_to_2024,orb15_not_above_50__risk_1p0%__dd3_half_recover1__realistic_units,False,14.319062304598981,325,43.34543327319008,14.448477757730027,0.5753846153846154,1.400129638974166,-12.941545313104484,3,0,6.081281708635691,30.823216325207092,22,14,197,46.2708111654712,46.2708111654712,0.6649746192893401,1.7712449208420575,-5.384173289486945,1,0,46.27081116547121,46.27081116547121,10,2,no_eligible_train_candidate_selected_best_train_anyway
clean_top3,preferred_realistic_units,rolling_prev3_to_2025,orb15_not_above_50__risk_1p0%__dd3_half_recover1__realistic_units,True,27.585063643472207,428,83.175309199314,27.725103066438,0.6285046728971962,1.6111261639195873,-14.003942296579169,3,0,6.081281708635691,46.27081116547121,24,12,336,88.77926995945919,88.77926995945919,0.6428571428571429,1.811626277367475,-5.305986034022624,1,0,88.77926995945919,88.77926995945919,11,1,eligible_train_selected
clean_top3,preferred_realistic_units,rolling_prev3_to_2026,orb15_not_above_50__risk_1p0%__dd3_half_recover1__realistic_units,True,46.9037481882229,639,141.13136283356607,47.04378761118869,0.6322378716744914,1.6735151553045382,-14.003942296579158,3,0,6.081281708635691,88.77926995945919,26,10,218,84.19474226801893,84.19474226801893,0.7110091743119266,2.370586853411236,-5.161515524903848,1,0,84.19474226801893,84.19474226801893,6,0,eligible_train_selected
clean_top3,fixed_fee_stretch,expanding_2019_2021_to_2022_2023,orb15_not_above_50__risk_5p0%__tiered_dd_3_6__$2p00_per_trade,True,17.162185489957906,286,51.67859145330826,17.226197151102753,0.6013986013986014,1.554996313861602,-6.4011661144847025,3,0,6.250263961690156,38.33174622102133,22,9,231,38.679598532482395,19.339799266241197,0.6406926406926406,1.511968635569108,-12.644343901720298,2,0,6.925341154853111,31.754257377629283,15,9,eligible_train_selected
clean_top3,fixed_fee_stretch,expanding_2019_2023_to_2024_2026,orb15_not_above_50__risk_5p0%__tiered_dd_3_6__$2p00_per_trade,True,17.945194558140926,517,90.35818998579063,18.071637997158128,0.6189555125725339,1.5357228761857538,-12.644343901720276,5,0,6.250263961690156,38.33174622102133,37,18,751,221.40521151962156,73.80173717320719,0.677762982689747,1.9625118332211533,-5.3059860340226095,3,0,47.50034016726798,89.52123337629858,28,2,eligible_train_selected
clean_top3,fixed_fee_stretch,rolling_prev3_to_2022,orb15_not_above_50__risk_5p0%__tiered_dd_3_6__$2p00_per_trade,True,17.162185489957906,286,51.67859145330826,17.226197151102753,0.6013986013986014,1.554996313861602,-6.4011661144847025,3,0,6.250263961690156,38.33174622102133,22,9,125,31.754257377629276,31.754257377629276,0.688,1.889207038493817,-4.5565019150512,1,0,31.754257377629283,31.754257377629283,9,3,eligible_train_selected
clean_top3,fixed_fee_stretch,rolling_prev3_to_2023,orb15_not_above_50__risk_5p0%__tiered_dd_3_6__$2p00_per_trade,True,25.66351662860428,380,77.18258486924738,25.727528289749127,0.6289473684210526,1.6443525193028168,-6.4011661144847025,3,0,7.096581270596769,38.33174622102133,27,9,106,6.925341154853113,6.925341154853113,0.5849056603773585,1.1738290143979417,-12.644343901720278,1,0,6.925341154853111,6.925341154853111,6,6,eligible_train_selected
clean_top3,fixed_fee_stretch,rolling_prev3_to_2024,orb15_not_above_50__risk_5p0%__tiered_dd_3_6__$2p00_per_trade,True,15.132283162009184,325,45.77617980307916,15.258726601026387,0.6123076923076923,1.4264117534517913,-12.644343901720298,3,0,6.925341154853111,31.754257377629283,23,13,197,47.50034016726798,47.50034016726798,0.6751269035532995,1.79753145983005,-5.258046314371477,1,0,47.50034016726798,47.50034016726798,10,2,eligible_train_selected
clean_top3,fixed_fee_stretch,rolling_prev3_to_2025,orb15_not_above_50__risk_5p0%__tiered_dd_3_6__$2p00_per_trade,True,28.5901535263625,428,86.17993869975037,28.726646233250122,0.6565420560747663,1.6378505425094905,-13.649270688762279,3,0,6.925341154853111,47.50034016726798,25,11,336,89.52123337629858,89.52123337629858,0.6577380952380952,1.820770317606987,-5.305986034022617,1,0,89.52123337629858,89.52123337629858,12,0,eligible_train_selected
